Niveau;Band;Lektion;Schritt;KB;AB;LWS;Kommunikatives;Grammatik;
B1.1;5;1;B;13;97;171–174;Über Erinnerungen aus der Kindheit und Zeitpunkte in der Vergangenheit sprechen;Konjunktion als;
B1.1;5;1;C;14;99;171–174;Chronologisch über Ereignisse berichten, über Glücksmomente sprechen;Plusquamperfekt;
B1.1;5;1;D;15;101;171–174;Einen Unfall schriftlich schildern;–;
B1.1;5;1;E;16–17;103;171–174;Über Glücksbringer und Rituale sprechen, jemandem etwas wünschen;–;
B1.1;5;2;FHG;22–23;–;175–178;Folge 2: «Ein Abend, der nicht so toll war.»;–;
B1.1;5;2;A;24–25;107;175–178;Über Serien sprechen, Meinungen und Vorlieben ausdrücken, Gegensätze ausdrücken;Konjunktion obwohl, Gradpartikeln (völlig, ziemlich …);
B1.1;5;2;B;26–27;109;175–178;Eigenschaften von Personen und Dingen beschreiben;Relativpronomen und Relativsätze (auch mit Präposition);
B1.1;5;2;C;28;113;175–178;In einer Diskussion einen Konsens finden;–;
B1.1;5;2;D;29;115;175–178;Eine Statistik zur Mediennutzung verstehen;–;
B1.1;5;3;FHG;34–35;–;179–183;Folge 3: «Samuel hat Stress.»;–;
B1.1;5;3;A;36;119;179–183;Ratgebertexte verstehen, über Gesundheitstipps sprechen, Vorgänge beschreiben;Passiv Präsens mit Modalverben;
B1.1;5;3;B;37;121;179–183;Fitnessübungen verstehen und beschreiben;Genitiv mit definitem und indefinitem Artikel;
B1.1;5;3;C;38;123;179–183;Rat suchen, Ratschläge und Empfehlungen geben;–;
B1.1;5;3;D;39;124;179–183;Vorsorge-Angebote verstehen, eine Kursstatistik erstellen und beschreiben;–;
B1.1;5;3;E;40–41;125;179–183;Sich bei der Arbeit krankmelden und Aufgaben verteilen;–;
B1.1;5;4;FHG;46–47;–;184–187;Folge 4: «Chili con Carne?»;–;
B1.1;5;4;A;48;130;184–187;Über Irreales sprechen, höflich absagen;Konjunktiv II: irreale Bedingungen mit wenn;
B1.1;5;4;B;49;131;184–187;Wichtigkeit ausdrücken und begründen, eine Radiosendung zu Fremdsprachen verstehen;Präposition wegen + Genitiv;
B1.1;5;4;C;50;132;184–187;Höflich nachfragen, um Informationen und um Wiederholung bitten;–;
B1.1;5;4;D;51;134;184–187;Tipps zum Deutschlernen verstehen und selbst geben;–;
B1.1;5;4;E;52–53;135;184–187;Einen Text zur Mehrsprachigkeit verstehen, über Sprachbiografien sprechen;–;
B1.1;5;5;FHG;58–59;–;188–190;Folge 5: «Selbst etwas dafür tun»;–;
B1.1;5;5;A;60–61;140;188–190;Stelleninserate verstehen, eine Bewerbung schreiben;Infinitiv mit zu;
B1.1;5;5;B;62–63;143;188–190;Ein Bewerbungsgespräch führen;Temporale Präpositionen während, ausserhalb, innerhalb + Genitiv;
B1.1;5;5;C;64;145;188–190;Über Berufswünsche und -interessen sprechen;–;
B1.1;5;5;D;65;146;188–190;Small Talk: von der Arbeit erzählen;–;
B1.1;5;6;FHG;70–71;–;191–195;Folge 6: «Mädchen für alles»;–;
B1.1;5;6;A;72;150;191–195;Texte über Geschäftsideen verstehen, über Geschäftsideen sprechen;Verben und Ausdrücke mit es;
B1.1;5;6;B;73;151;191–195;Ein Ziel ausdrücken, über Kenntnisse und Kompetenzen im Beruf sprechen;Konjunktionen um … zu + Infinitiv und damit;
B1.1;5;6;C;74;154;191–195;Höfliche Ratschläge geben, Alternativen ausdrücken;Konjunktion statt/ohne … zu + Infinitiv;
B1.1;5;6;D;75;156;191–195;Ein Verkaufsgespräch führen;–;
B1.1;5;6;E;76–77;157;191–195;Eine Reklamation schreiben;–;
B1.1;5;7;FHG;82–83;–;196–200;Folge 7: «Streit ohne Ende»;–;
B1.1;5;7;A;84–85;161;196–200;Über Regeln beim Zusammenleben sprechen, eine Hausordnung verstehen und schreiben;Zweiteilige Konjunktionen nicht nur … sondern auch, zwar … aber, entweder … oder;
B1.1;5;7;B;86;162;196–200;Konflikte mit Nachbarn lösen, Kritik höflich äussern und darauf reagieren;Konjunktiv II Vergangenheit, irreale Wünsche;
B1.1;5;7;C;87;165;196–200;Forumstexte zur Wohnungssuche verstehen, über die eigene Wohnsituation schreiben;Wiederholung: Verben mit Präpositionen;
B1.1;5;7;D;88–89;167;196–200;Texte und Interview zum Thema Fernbeziehungen verstehen, über Beziehungen sprechen;Präposition trotz + Genitiv;
B1.2;6;8;FHG;10–11;–;176–177;Folge 8: «Der wichtige Herr Gerber»;–;
B1.2;6;8;A;12–13;96;176–177;Ratgebertexte verstehen, Arbeitsaufträge höflich ablehnen, Alternativvorschläge machen;Konjunktion falls;
B1.2;6;8;B;14;99;176–177;Ein Interview verstehen, über den Umgang mit Kollegen diskutieren;Zweiteilige Konjunktion je … desto/umso;
B1.2;6;8;C;15;101;176–177;Personen näher beschreiben;Relativsätze mit Präpositionen, Adjektive als Nomen, n-Deklination;
B1.2;6;8;D;16–17;103;176–177;Das Du anbieten und annehmen, über Duzen und Siezen sprechen;–;
B1.2;6;9;FHG;22–23;–;178–181;Folge 9: «Alex Müller ist weg!»;–;
B1.2;6;9;A;24–25;108;178–181;Über Arbeitsabläufe sprechen, etwas planen, Mitteilungen im Arbeitsalltag verstehen;Konjunktionen während, bevor, nachdem;
B1.2;6;9;B;26;111;178–181;Über Schein und Wirklichkeit sprechen, Irreales ausdrücken;Konjunktion als ob / wie wenn;
B1.2;6;9;C;27;113;178–181;Bedienungsanleitungen verstehen, erklären, wie etwas funktioniert;–;
B1.2;6;9;D;28;114;178–181;In einem Forum antworten, Beiträge kommentieren, Ratschläge geben;–;
B1.2;6;9;E;29;116;178–181;Eine Radiodiskussion zum Thema digitale Welt verstehen, über digitale Medien diskutieren;–;
B1.2;6;10;FHG;34–35;–;182–184;Folge 10: «Der Gute-Laune-Tee»;–;
B1.2;6;10;A;36–37;120;182–184;Produktwerbung verstehen, sich beschweren, etwas reklamieren;Zweiteilige Konjunktionen sowohl … als auch, weder … noch;
B1.2;6;10;B;38;121;182–184;Über Pannen und Missgeschicke sprechen und darauf reagieren;Relativsätze mit wo und was;
B1.2;6;10;C;39;123;182–184;Produkte beschreiben und präsentieren, Erstaunen äussern;Partizip Präsens als Adjektiv (wohltuend);
B1.2;6;10;D;40;125;182–184;Eine Radioreportage zum Thema Crowdsourcing verstehen;–;
B1.2;6;10;E;41;126;182–184;Eine Kolumne verstehen;–;
B1.2;6;11;FHG;46–47;–;185–188;Folge 11: «Alles 'bestens', oder?»;–;
B1.2;6;11;A;48;130;185–188;Vermutungen, Pläne und Versprechen ausdrücken;Futur I;
B1.2;6;11;B;49;131;185–188;Über gutes Benehmen und Umgangsformen sprechen, die Meinung begründen;Konjunktion da;
B1.2;6;11;C;50;133;185–188;Über Regeln und falsches Verhalten im Strassenverkehr sprechen;–;
B1.2;6;11;D;51;136;185–188;Aussagen zum Fremdsein verstehen, über Erfahrungen mit dem Fremdsein sprechen;–;
B1.2;6;11;E;52–53;137;185–188;Aussagen zu Arbeitsalltagen verstehen, den eigenen Arbeitsalltag beschreiben;–;
B1.2;6;12;FHG;58–59;–;189–192;Folge 12: «Was wollen wir mehr?»;–;
B1.2;6;12;A;60–61;142;189–192;Programm eines Gemeinschaftszentrums verstehen, ein Problem beschreiben, um Hilfe bitten;Konjunktionen seit/seitdem, bis;
B1.2;6;12;B;62;144;189–192;Informationen zu Vereinen in der Schweiz verstehen, die eigene Meinung äussern;Konjunktionen indem, ohne dass / ohne … zu;
B1.2;6;12;C;63;147;189–192;Einen Artikel über persönliches Engagement verstehen, über Engagement sprechen;Präposition ausser + Dativ;
B1.2;6;12;D;64;148;189–192;Über Vorbilder sprechen, Hörerbeiträge im Radio verstehen;–;
B1.2;6;12;E;65;149;189–192;Gewissensfragen kommentieren, einen Standpunkt vertreten;–;
B1.2;6;13;FHG;70–71;–;193–196;Folge 13: «Nicht aufgeben! Weitermachen!»;–;
B1.2;6;13;A;72–73;153;193–196;Über Biografien sprechen, eine Reportage verstehen, eine Biografie präsentieren;Passiv Präteritum und Passiv Perfekt;
B1.2;6;13;B;74;156;193–196;Etwas bewerten und vergleichen, die Meinung sagen, Verbesserungsvorschläge machen;Adjektivdeklination mit Komparativ und Superlativ;
B1.2;6;13;C;75;160;193–196;Zeitungsmeldungen verstehen und zusammenfassen;–;
B1.2;6;13;D;76–77;161;193–196;Wissenswertes aus der Schweizer Geschichte kennenlernen, die Geschichte des Heimatlandes präsentieren;–;
B1.2;6;14;FHG;82–83;–;197–199;Folge 14: «Heimat ist, wo du Freunde hast.»;–;
B1.2;6;14;A;84–85;165;197–199;Über Spezialitäten aus der Schweiz und der Heimat sprechen, ein Fest planen;Wiederholung: Wortbildung Nomen (Komposita);
B1.2;6;14;B;86–87;166;197–199;Eine Reportage zum Thema Heimat verstehen, über Heimat sprechen;Wiederholung: Verben mit Präpositionen und Präpositionaladverbien;
B1.2;6;14;C;88;169;197–199;Ein Land beschreiben, über die Schweiz und die Europäische Union sprechen;–;
B1.2;6;14;D;89;170;197–199;Über Vergangenes und Zukünftiges sprechen, über den eigenen Deutschlernweg sprechen;–;
